Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,salary,company_text,job_state,age
Data Scientist,"$101,105 /yr (est.)",3.9,"eimagine
3.9","Indianapolis, IN",1 to 50 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,Information Technology,101105.0,eimagin, IN,25
Data Scientist,$33.25 /hr (est.),3.9,"Parsons
3.9",Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,Information Technology,33.25,Parson,Remote,79
Data Scientist,"$108,074 /yr (est.)",4.5,"Colsh Consultants
4.5","Richfield, MN",Unknown,2005,Unknown,Information Technology Support Services,Information Technology,Information Technology,108074.0,Colsh Consultant, MN,18
Data Scientist - REMOTE,"$112,750 /yr (est.)",4.0,"Florida Blue
4.0",Remote,10000+ Employees,1944,Nonprofit Organization,Insurance Carriers,Insurance,Insurance,112750.0,Florida Blu,Remote,79
Data Scientist,"$91,500 /yr (est.)",3.9,"Vetro Tech Inc
3.9","Seattle, WA",Unknown,-1,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Human Resources & Staffing,91500.0,Vetro Tech In, WA,-1
Data Scientist,"$124,500 /yr (est.)",3.9,"Charles Schwab
3.9","San Francisco, CA",10000+ Employees,1973,Company - Public,Investment & Asset Management,Financial Services,Financial Services,124500.0,Charles Schwa, CA,50
Hockey Operations Data Scientist,"$78,147 /yr (est.)",4.6,"Pittsburgh Penguins
4.6","Pittsburgh, PA",51 to 200 Employees,1999,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation","Arts, Entertainment & Recreation",78147.0,Pittsburgh Penguin, PA,24
"Data Scientist, Analytics","$99,000 /yr (est.)",3.3,"Overstock.com Inc.
3.3","Midvale, UT",1001 to 5000 Employees,1999,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Retail & Wholesale,99000.0,Overstock.com Inc, UT,24
Data Scientist - 298841,"$103,371 /yr (est.)",4.1,"Grainger
4.1","Lake Forest, IL",10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,Retail & Wholesale,103371.0,Grainge, IL,96
Data Scientist,"$109,987 /yr (est.)",3.2,"ACI Federal Inc
3.2","Bethesda, MD",501 to 1000 Employees,2014,Company - Private,National Agencies,Government & Public Administration,Government & Public Administration,109987.0,ACI Federal In, MD,9
Data Scientist,"$72,500 /yr (est.)",2.0,"Cognize tech solutions
2.0",Remote,51 to 200 Employees,-1,Company - Private,-1,-1,-1,72500.0,Cognize tech solution,Remote,-1
Data Scientist,"$110,603 /yr (est.)",2.2,"Source Enterprises
2.2","New York, NY",51 to 200 Employees,-1,Company - Private,Publishing,Media & Communication,Media & Communication,110603.0,Source Enterprise, NY,-1
"Data Scientist(RNAseq,Genomics,Omnics,Machine Learning,data analysis)",$51.50 /hr (est.),3.7,"Tellus Solutions
3.7",Remote,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Information Technology,51.5,Tellus Solution,Remote,17
DATA SCIENTIST,"$7,917 /mo (est.)",4.2,"University of Washington
4.2","Seattle, WA",10000+ Employees,1861,College / University,Colleges & Universities,Education,Education,7917.0,University of Washingto, WA,162
AI Model Training: Seeking STEM topic experts for AI Projects (US),$42.50 /hr (est.),3.7,"Appen
3.7",Remote,501 to 1000 Employees,1996,Company - Public,Business Consulting,Management & Consulting,Management & Consulting,42.5,Appe,Remote,27
DATA SCIENTIST,"$110,383 /yr (est.)",3.2,"Durham County
3.2","Durham, NC",51 to 200 Employees,-1,Government,Municipal Agencies,Government & Public Administration,Government & Public Administration,110383.0,Durham Count, NC,-1
Data Scientist/Data Analyst,"$80,000 /yr (est.)",3.6,"Holman
3.6","Mount Laurel, NJ",5001 to 10000 Employees,1924,Company - Private,Vehicle Dealers,Retail & Wholesale,Retail & Wholesale,80000.0,Holma, NJ,99
Biological Data Scientist,"$103,335 /yr (est.)",4.0,"University of California San Francisco
4.0","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,Education,103335.0,University of California San Francisc, CA,159
Hockey Operations Data Scientist,"$78,147 /yr (est.)",4.6,"Pittsburgh Penguins
4.6","Pittsburgh, PA",51 to 200 Employees,1999,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation","Arts, Entertainment & Recreation",78147.0,Pittsburgh Penguin, PA,24
"Senior Data Scientist, Machine Learning (NLP)","$162,950 /yr (est.)",3.4,"Discord
3.4","San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Information Technology,162950.0,Discor, CA,8
Data Scientist - 298841,"$103,371 /yr (est.)",4.1,"Grainger
4.1","Lake Forest, IL",10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,Retail & Wholesale,103371.0,Grainge, IL,96
Product Data Scientist,"$124,350 /yr (est.)",3.6,"PayPal
3.6","New York, NY",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Information Technology,124350.0,PayPa, NY,7
Data Scientist - REMOTE,"$112,750 /yr (est.)",4.0,"Florida Blue
4.0",Remote,10000+ Employees,1944,Nonprofit Organization,Insurance Carriers,Insurance,Insurance,112750.0,Florida Blu,Remote,79
Junior Data Scientist,"$57,500 /yr (est.)",3.9,"Augray
3.9","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Information Technology,57500.0,Augra, WI,9
Data Scientist,$45.00 /hr (est.),5.0,"Aurora Technical Systems, LLC",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,-1,45.0,Aurora Technical Systems,Remote,-1
Data Scientist,"$91,500 /yr (est.)",4.3,"The Rector & Visitors of the University of Virginia
4.3","Charlottesville, VA",10000+ Employees,1819,College / University,Colleges & Universities,Education,Education,91500.0,The Rector & Visitors of the University of Virgini, VA,204
Data Scientist,$33.25 /hr (est.),3.9,"Parsons
3.9",Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,Information Technology,33.25,Parson,Remote,79
Data Scientist,"$72,500 /yr (est.)",2.0,"Cognize tech solutions
2.0",Remote,51 to 200 Employees,-1,Company - Private,-1,-1,-1,72500.0,Cognize tech solution,Remote,-1
Data Scientist,"$124,500 /yr (est.)",3.9,"Charles Schwab
3.9","San Francisco, CA",10000+ Employees,1973,Company - Public,Investment & Asset Management,Financial Services,Financial Services,124500.0,Charles Schwa, CA,50
Data Scientist,"$101,105 /yr (est.)",3.9,"eimagine
3.9","Indianapolis, IN",1 to 50 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,Information Technology,101105.0,eimagin, IN,25
"Data Scientist, Analytics","$99,000 /yr (est.)",3.3,"Overstock.com Inc.
3.3","Midvale, UT",1001 to 5000 Employees,1999,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Retail & Wholesale,99000.0,Overstock.com Inc, UT,24
Staff Data Scientist - Deep Learning,"$174,000 /yr (est.)",4.3,"GE Healthcare
4.3","San Ramon, CA",10000+ Employees,1892,Company - Public,Health Care Services & Hospitals,Healthcare,Healthcare,174000.0,GE Healthcar, CA,131
Associate Scientist - Data Analytics,"$135,500 /yr (est.)",4.2,"SLAC National Accelerator Laboratory
4.2","Menlo Park, CA",1001 to 5000 Employees,1962,Government,National Agencies,Government & Public Administration,Government & Public Administration,135500.0,SLAC National Accelerator Laborator, CA,61
Data Scientist,"$110,603 /yr (est.)",2.2,"Source Enterprises
2.2","New York, NY",51 to 200 Employees,-1,Company - Private,Publishing,Media & Communication,Media & Communication,110603.0,Source Enterprise, NY,-1
Data Scientist (All Levels),"$115,100 /yr (est.)",4.4,"Noblis
4.4","Reston, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,Management & Consulting,115100.0,Nobli, VA,27
Data Scientist,"$110,925 /yr (est.)",4.4,"SAP
4.4","Pittsburgh, PA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,Information Technology,110925.0,SA, PA,51
Junior Data Scientist,"$95,921 /yr (est.)",2.9,"Soothsayer Analytics
2.9","Livonia, MI",Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Information Technology,95921.0,Soothsayer Analytic, MI,-1
Data Scientist,"$106,869 /yr (est.)",4.2,"Hyperspace Ventures
4.2","Durham, NC",1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Information Technology,106869.0,Hyperspace Venture, NC,6
Data Scientist,"$112,380 /yr (est.)",4.2,"Red Bull North America
4.2","Santa Monica, CA",10000+ Employees,1987,Company - Private,Food & Beverage Manufacturing,Manufacturing,Manufacturing,112380.0,Red Bull North Americ, CA,36
AI Model Training: Seeking STEM topic experts for AI Projects (US),$42.50 /hr (est.),3.7,"Appen
3.7",Remote,501 to 1000 Employees,1996,Company - Public,Business Consulting,Management & Consulting,Management & Consulting,42.5,Appe,Remote,27
"Senior Data Scientist, Analytics","$157,847 /yr (est.)",3.4,"Discord
3.4","San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Information Technology,157847.0,Discor, CA,8
